term	common	ctrl_t0_green_VS_ctrl_t0_red_FC	ctrl_t0_red_VS_ctrl_t0_blue_FC	ctrl_t1_green_VS_ctrl_t1_red_FC	ctrl_t1_red_VS_ctrl_t1_blue_FC	treatment_t0_green_VS_treatment_t0_red_FC	treatment_t0_red_VS_treatment_t0_blue_FC	treatment_t1_green_VS_treatment_t1_blue_FC	treatment_t1_green_VS_treatment_t1_red_FC	treatment_t1_red_VS_treatment_t1_blue_FC
atrioventricular valve morphogenesis	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	0.018000000000000002	1.0	1.0	1.0	1.0
axis specification	{'n/a (just one condition)'}	0.0438	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
axon development	{'No common gene'}	3.8e-05	0.0001	1.0	1.0	4.66e-05	0.0365	1.0	2.44e-06	0.0016
axon extension	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0172	1.0
axon guidance	{'No common gene'}	3.21e-06	0.0016	1.0	1.0	8.02e-06	0.0329	1.0	0.0031	0.00085
axonal fasciculation	{'No common gene'}	1.0	0.0114	1.0	1.0	1.0	1.0	1.0	0.0038	0.0243
axonogenesis	{'No common gene'}	1.0	0.006999999999999999	1.0	1.0	0.00014	1.0	1.0	5.6999999999999996e-05	0.0045
basic amino acid transmembrane transport	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0038
basic amino acid transport	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.00022
behavior	{'No common gene'}	1.0	1.0	1.0	1.0	0.0378	1.0	4e-05	0.0191	0.00073
biological adhesion	{'Sdc3', 'Itgax', 'Ptk2b', 'Sned1', 'Itgb4', 'Il1b', 'Epha2', 'Lgals3bp', 'Itgb2', 'Nt5e', 'Lamb1', 'Cd22', 'Col6a5', 'Siglec1', 'Itgam', 'Syk', 'Plek', 'Icam1', 'Parvb', 'Adam8', 'Stab1', 'Csf3r', 'Fes', 'Scarb1'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.2800000000000002e-05	5.720000000000002e-05
biological regulation	{'No common gene'}	4.65e-07	1.47e-05	1.0	0.00018999999999999998	7.170000000000001e-17	5.38e-10	7.5e-32	2.2999999999999998e-32	6.15e-09
biomineral tissue development	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0039	1.0	1.0
biosynthetic process	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0232	1.0
bleb assembly	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0251	1.0
blood circulation	{'No common gene'}	1.0	1.0	1.0	1.0	1.0	1.0	0.00073	0.0001	0.005
blood coagulation	{'No common gene'}	0.0012	0.001	1.0	1.0	0.0228	0.0013	0.0087	1.0	5.520000000000001e-07
blood vessel development	{'No common gene'}	6.34e-07	0.0006900000000000001	1.0	1.0	5.83e-07	0.0002	6.950000000000001e-10	7.59e-09	0.00045
blood vessel endothelial cell migration	{'Sox18', 'Grem1', 'Ptk2b', 'Adam8', 'Mmrn2', 'Scarb1'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.00099	0.0033
blood vessel morphogenesis	{'No common gene'}	7.11e-07	0.00042	1.0	1.0	8.75e-07	0.0005099999999999999	2.6800000000000003e-09	1.74e-07	0.0197
body morphogenesis	{'Col1a1', 'Mmp2', 'Pdgfra', 'Gpc3'}	0.0019	1.0	1.0	1.0	0.036000000000000004	0.027999999999999997	1.0	1.0	1.0
bone development	{'No common gene'}	1.0	1.0	1.0	1.0	0.0037	1.0	0.00022	0.0073	0.0351
bone mineralization	{'Rspo2', 'Mmp13', 'Gpnmb', 'Ptgs2', 'Sbno2', 'Ibsp'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0352	1.0	0.0238
bone morphogenesis	{'Col1a1', 'Mmp14', 'Tifab'}	1.0	1.0	1.0	1.0	0.0244	1.0	1.0	1.0	0.0425
bone regeneration	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0457	1.0
bone remodeling	{'Cthrc1', 'Ctsk', 'Tgfb1', 'Tpp1', 'Ctss'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0063	1.0	0.0042
bone trabecula formation	{'Col1a1', 'Mmp2', 'Sfrp1'}	0.0017	1.0	1.0	1.0	0.0122	0.0032	0.0423	1.0	1.0
bone trabecula morphogenesis	{'Col1a1', 'Mmp2', 'Sfrp1'}	1.0	1.0	1.0	1.0	0.0032	1.0	0.0185	1.0	0.0112
bradykinin catabolic process	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	0.0235	1.0	1.0	1.0
brain development	{'No common gene'}	0.0157	1.0	1.0	1.0	0.0026	1.0	1.0	5.5299999999999996e-05	0.0211
branching involved in blood vessel morphogenesis	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.046
branching involved in labyrinthine layer morphogenesis	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0446
branching involved in ureteric bud morphogenesis	{'n/a (just one condition)'}	0.0463	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
branching morphogenesis of an epithelial tube	{'No common gene'}	0.0013	1.0	1.0	1.0	0.0371	1.0	1.0	0.005	0.0037
branchiomotor neuron axon guidance	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	0.0099	1.0	1.0	1.0	1.0
bronchus development	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	0.040999999999999995	1.0	1.0	1.0
bundle of His cell to Purkinje myocyte communication	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0294	1.0
cAMP metabolic process	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0285	1.0
cAMP-mediated signaling	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0188	1.0
cGMP-mediated signaling	{'Gucy1b3', 'Apoe', 'Mrvi1'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0027	0.0255
calcium ion export	{'Slc8a1'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0423	0.0174	1.0
calcium ion homeostasis	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	0.006999999999999999	1.0	1.0
calcium ion import	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0041	1.0
calcium ion transmembrane transport	{'No common gene'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0136	0.0026	0.0321
calcium ion transmembrane transport via high voltage-gated calcium channel	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0344	1.0
calcium ion transport	{'No common gene'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0273	0.0028	0.0113
calcium ion transport into cytosol	{'Slc8a1', 'Itgav'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0139	0.0106	1.0
calcium-mediated signaling	{'No common gene'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0065	0.0306	0.0287
camera-type eye development	{'No common gene'}	0.00047999999999999996	1.0	1.0	1.0	0.0416	1.0	1.0	0.0109	0.0078
cannabinoid signaling pathway	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0352	1.0
carbohydrate biosynthetic process	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0384
carbohydrate derivative biosynthetic process	{'Mgat5', 'Uap1l1', 'Sdf2l1', 'Galnt6', 'Htr2b', 'Hk3', 'Pigs', 'Dse', 'B3gnt7', 'Hs6st2', 'Hexa', 'Xylt2', 'Npc1', 'Galnt12', 'Galnt7', 'B4galt5', 'Ctps', 'Acan', 'Hs6st1', 'Slc25a13', 'Gcnt4', 'Atp6v0a1', 'Pqlc3', 'Aprt', 'Tgfb1', 'St6galnac4', 'B4galt6', 'Chst11'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0022	1.0	0.0018
carbohydrate derivative catabolic process	{'No common gene'}	1.0	1.0	1.0	1.0	1.0	1.0	1.05e-06	0.0369	3.69e-09
carbohydrate derivative metabolic process	{'No common gene'}	1.0	0.00064	1.0	1.0	0.0142	1.0	2.36e-09	1.0	6.629999999999999e-07
carbohydrate derivative transport	{'Slc29a3', 'Slc37a2', 'Abcg1', 'Lbp'}	1.0	1.0	1.0	1.0	0.036000000000000004	0.027999999999999997	1.0	1.0	1.0
carbohydrate metabolic process	{'Fuca2', 'Naga', 'Fabp5', 'Hk3', 'Man2b1', 'Gnptab', 'Hexa', 'Chst2', 'Nans', 'Gusb', 'Nagk', 'Man2b2', 'B4galt5', 'Gnpda1', 'Fuca1', 'Glb1', 'Gla', 'Atf3', 'Npl', 'Hexb', 'Gm2a', 'St6galnac4', 'Pfkfb4', 'B4galt6', 'Chst11'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0059	1.0	0.0033
carboxylic acid biosynthetic process	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0392	1.0
carboxylic acid catabolic process	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0045	1.0
carboxylic acid metabolic process	{'Ncf1', 'Cd74', 'St3gal1', 'Cyp4f18', 'Sgpl1', 'Nr1h3', 'Alox5ap', 'Nos2', 'Syk', 'Cyp2e1', 'Acod1', 'Nos1', 'Plod1', 'Il1b', 'C3'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	4.73e-05	0.0268
carboxylic acid transmembrane transport	{'Slc3a2'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0429	0.0301
carboxylic acid transport	{'Abcc3', 'Slc11a1', 'Nos2', 'Slc3a2'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0101	0.0043
cardiac atrium morphogenesis	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0429	1.0
cardiac chamber development	{'No common gene'}	1.0	1.0	1.0	1.0	0.0288	1.0	1.0	0.0252	1.0
cardiac chamber morphogenesis	{'No common gene'}	1.0	1.0	1.0	1.0	0.0183	1.0	1.0	0.0129	1.0
cardiac conduction	{'Cacna1c', 'Ank2', 'Ctnna3', 'Kcnd3', 'Gjc1', 'Cacnb2'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	8.3e-07	0.0074
cardiac conduction system development	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0384	1.0
cardiac epithelial to mesenchymal transition	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.031	1.0
cardiac muscle cell action potential	{'Cacna1c', 'Ank2', 'Kcnd3', 'Dmd', 'Cacnb2'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	7.71e-06	0.0142
cardiac muscle cell action potential involved in contraction	{'Cacna1c', 'Cacnb2', 'Ank2', 'Kcnd3'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.3e-05	0.0362
cardiac muscle cell development	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0061	1.0
cardiac muscle cell differentiation	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0047	1.0
cardiac muscle contraction	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.00011999999999999999	1.0
cardiac muscle tissue development	{'Gjc1', 'Myh11', 'Nexn', 'Mef2c', 'Sgcg', 'Fgf1', 'Bmpr1a', 'Myh10'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.37e-06	0.0075
cardiac muscle tissue growth	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0429	1.0
cardiac muscle tissue morphogenesis	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0027	1.0
cardiac right ventricle morphogenesis	{'No common gene'}	1.0	1.0	1.0	1.0	0.0455	1.0	1.0	0.0131	1.0
cardiac septum development	{'No common gene'}	1.0	1.0	1.0	1.0	0.0077	1.0	1.0	0.0369	1.0
cardiac septum morphogenesis	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0178	1.0
cardiac ventricle development	{'No common gene'}	1.0	1.0	1.0	1.0	0.0183	1.0	1.0	0.0129	1.0
cardiac ventricle morphogenesis	{'No common gene'}	1.0	1.0	1.0	1.0	0.0345	1.0	1.0	0.0016	1.0
cardiocyte differentiation	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0071	1.0
cardiovascular system development	{'Arhgap22', 'Col8a1', 'Abl2', 'Ccl2', 'Spi1', 'Edn1', 'Unc5b', 'Tnfaip2', 'Pdpn', 'Anxa2', 'Mmp19', 'Col3a1', 'Ptk7', 'Lrp1', 'Loxl2', 'Syk', 'Myo1e', 'Col1a1', 'Sox4', 'Anpep', 'Thbs1', 'Mmp2', 'Hmox1', 'Sat1', 'Hs6st1', 'Mfge8', 'Prcp', 'Lif', 'Adam8', 'Cx3cl1', 'Plau', 'Sphk1', 'Mmp14', 'Ptgs2', 'Mfsd7b', 'Tgfb1', 'Gpx1', 'Socs3', 'Fn1', 'Plxdc1', 'Hpse'}	1.0	1.0	1.0	1.0	1.0	1.0	6.43e-10	1.0	1.74e-11
cartilage development	{'No common gene'}	1.0	1.0	1.0	1.0	0.033	1.0	5.36e-05	0.0012	0.0215
catabolic process	{'Ctsz', 'Ncf1', 'Mmp13', 'Sdf2l1', 'Lyz2', 'Lyz1', 'Ncf2'}	1.0	1.0	1.0	1.0	1.0	1.0	0.00073	0.0008	3.05e-07
cation homeostasis	{'Slc11a1', 'Ftl1', 'Cd38', 'Gpr35'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0032	0.00098	9.85e-09
cation transmembrane transport	{'No common gene'}	1.0	0.0116	1.0	1.0	1.0	1.0	1.0	0.0148	0.00045999999999999996
cation transport	{'No common gene'}	1.0	0.0101	1.0	1.0	1.0	1.0	0.0214	0.0223	8.159999999999998e-07
cell activation	{'Itgb2', 'Myo1f', 'Spi1', 'Tyrobp', 'Slc11a1', 'Nfam1', 'Pirb', 'Lcp1'}	1.0	1.0	1.0	9.32e-05	1.4e-07	1.85e-06	8.699999999999999e-16	1.76e-16	4.74e-35
cell adhesion	{'No common gene'}	3.58e-14	8.93e-06	1.0	0.0211	1.4400000000000001e-19	1.23e-12	4.11e-14	4.2100000000000014e-05	0.0001
cell adhesion involved in heart morphogenesis	{'Tgfbr2', 'Flrt2'}	1.0	1.0	1.0	1.0	0.0419	0.019	1.0	1.0	1.0
cell adhesion mediated by integrin	{'No common gene'}	0.00057	1.0	1.0	1.0	0.001	0.0014	0.0097	0.0114	0.0077
cell chemotaxis	{'Syk', 'Gpr35', 'Itgb2'}	1.0	1.0	1.0	1.0	2.4299999999999998e-05	7.89e-06	1.2e-09	3.36e-14	3.9e-21
cell communication	{'No common gene'}	0.00086	0.0102	1.0	0.0003	5.87e-16	1.52e-08	1.7399999999999994e-27	4.009999999999999e-24	2.4e-10
cell communication involved in cardiac conduction	{'Cacna1c', 'Ank2', 'Ctnna3', 'Gjc1', 'Cacnb2'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	5.27e-06	0.0114
cell death	{'Ncf1', 'Tnfrsf1b', 'Itgam', 'Spi1', 'Inpp5d'}	1.0	1.0	1.0	1.0	1.0	1.0	4.8e-05	0.0006799999999999999	1.36e-10
cell development	{'No common gene'}	0.00028	0.0059	1.0	1.0	3.14e-08	0.0305	1.0199999999999999e-05	0.0477	9.65e-08
cell differentiation	{'No common gene'}	0.0007700000000000001	0.0016	1.0	1.0	1.65e-12	0.00058	8.98e-17	2.44e-09	4.18e-09
cell differentiation involved in kidney development	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0077	1.0
cell differentiation involved in metanephros development	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0488	1.0
cell fate commitment	{'No common gene'}	0.0104	1.0	1.0	1.0	1.0	1.0	1.0	0.0122	1.0
cell junction assembly	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0479	1.0
cell junction organization	{'Tgfb2', 'Itgav'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0352	0.006	1.0
cell killing	{'Ncf1', 'Prdx1', 'Ctsc', 'Bcl2l11', 'Fcgr3', 'Ccl2', 'Fcgr1', 'Ccr5', 'Ctsh'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0052	1.0	0.0005099999999999999
cell maturation	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.026000000000000002	1.0
cell migration	{'No common gene'}	0.00013000000000000002	0.0062	1.0	0.00011	8.23e-12	9.08e-08	1.6899999999999999e-16	7.04e-12	1.1499999999999999e-24
cell migration involved in endocardial cushion formation	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0352	1.0
cell morphogenesis	{'No common gene'}	6.69e-05	1.0	1.0	1.0	3.14e-08	0.0142	6.829999999999999e-05	5.39e-08	1.07e-05
cell morphogenesis involved in differentiation	{'No common gene'}	4.22e-05	1.0	1.0	1.0	5.62e-06	1.0	0.0081	8.92e-09	7.840000000000001e-05
cell morphogenesis involved in neuron differentiation	{'No common gene'}	0.00014	0.003	1.0	1.0	1.42e-05	1.0	1.0	8.05e-06	0.0013
cell motility	{'No common gene'}	1.0	1.0	1.0	0.00011	1.8399999999999998e-10	4.270000000000001e-07	1.86e-14	8.37e-11	3.46e-21
cell part morphogenesis	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.37e-07	1.0	1.0	1.0	1.0
cell population proliferation	{'No common gene'}	0.00014	0.0269	1.0	1.0	2.3199999999999999e-07	1.0	0.00054	0.0038	0.0146
cell projection organization	{'No common gene'}	1.0	1.0	1.0	1.0	5.660000000000001e-07	0.0255	1.0	1.4e-06	0.0029
cell proliferation involved in metanephros development	{'n/a (just one condition)'}	0.0212	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
cell recognition	{'Epha3'}	1.0	0.0238	1.0	1.0	1.0	1.0	1.0	0.0172	1.0
cell redox homeostasis	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0097
cell surface receptor signaling pathway	{'No common gene'}	1.8800000000000002e-07	0.00018	1.0	1.62e-06	2.1099999999999998e-16	5.57e-09	1.57e-22	1.81e-18	5.720000000000002e-05
cell surface receptor signaling pathway involved in cell-cell signaling	{'Cpz', 'Dact1'}	0.0346	1.0	1.0	1.0	0.036000000000000004	1.0	1.0	1.0	0.0027
cell-cell adhesion	{'No common gene'}	0.0068	1.0	1.0	1.0	1.51e-07	0.0077	0.0017	0.0207	0.00088
cell-cell adhesion mediated by integrin	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0457	1.0
cell-cell adhesion via plasma-membrane adhesion molecules	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	0.0176	1.0	1.0	1.0	1.0
cell-cell junction organization	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0093	1.0
cell-cell signaling	{'No common gene'}	1.0	1.0	1.0	1.0	0.0196	1.0	0.0098	0.0102	1.32e-05
cell-cell signaling involved in cardiac conduction	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0025	1.0
cell-matrix adhesion	{'No common gene'}	0.0034	1.0	1.0	1.0	0.00023999999999999998	0.003	0.00041	0.0208	0.00058
cell-substrate adhesion	{'No common gene'}	0.00015	0.0414	1.0	0.0438	7.46e-05	0.0012	2.34e-06	0.0007599999999999999	2.1899999999999997e-05
cellular amide metabolic process	{'n/a (just one condition)'}	1.0	0.00016	1.0	1.0	1.0	1.0	1.0	1.0	1.0
cellular amino acid catabolic process	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0088	1.0
cellular amino acid metabolic process	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0363	1.0
cellular biosynthetic process	{'Tbx3', 'Taf10', 'Cebpb'}	1.0	0.0347	1.0	1.0	1.0	1.0	1.0	0.0434	1.0
cellular calcium ion homeostasis	{'Cd38', 'Gpr35'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0073	0.0145	1.68e-06
cellular catabolic process	{'Ctsz', 'Ncf1', 'Mmp13', 'Sdf2l1', 'Lyz2', 'Lyz1', 'Ncf2'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0312	0.0045	0.0012
cellular cation homeostasis	{'Slc11a1', 'Gpr35'}	1.0	1.0	1.0	1.0	0.0438	1.0	0.0012	0.0015	1.5699999999999997e-10
cellular chemical homeostasis	{'No common gene'}	1.0	0.0301	1.0	0.0371	0.0086	0.0077	0.0001	0.0012	2.05e-11
cellular component assembly	{'n/a (just one condition)'}	1.0	0.00016	1.0	1.0	1.0	1.0	1.0	1.0	1.0
cellular component assembly involved in morphogenesis	{'No common gene'}	1.0	1.0	1.0	1.0	0.0197	1.0	1.0	1.0	0.0299
cellular component morphogenesis	{'No common gene'}	0.00011999999999999999	0.0301	1.0	1.0	6.4900000000000005e-09	0.0116	0.00029	2.61e-07	1.84e-06
cellular component organization	{'No common gene'}	0.0291	0.0088	1.0	1.0	2.57e-05	0.0116	2.36e-06	4.16e-07	6.39e-05
cellular component organization or biogenesis	{'Fbln2', 'Sfrp1', 'Mmp2', 'Steap3', 'Loxl2', 'Ptgfrn', 'Col1a1', 'Csf1r'}	0.0349	1.0	1.0	1.0	8.94e-05	0.0174	2.3199999999999998e-05	1.0	0.00014
cellular defense response	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.013999999999999999
cellular developmental process	{'Fgr', 'Unc93b1', 'Fcgr2b', 'Spi1', 'Syk', 'Tyrobp', 'Hck', 'Tnfaip2', 'Nfam1', 'Pirb', 'Csf1r'}	1.0	1.0	1.0	1.0	8.120000000000001e-13	0.00062	2.8400000000000003e-18	5.679999999999999e-09	6.93e-09
cellular divalent inorganic cation homeostasis	{'Slc11a1', 'Cd38', 'Gpr35'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0043	0.0029	1.26e-07
cellular extravasation	{'Sele', 'Itgb2', 'Selp'}	1.0	1.0	1.0	1.0	0.0076	0.00098	0.0012	1.0	3.0799999999999996e-05
cellular homeostasis	{'No common gene'}	1.0	0.0362	1.0	1.0	1.0	1.0	0.0002	0.0019	1.59e-12
cellular ion homeostasis	{'Slc11a1', 'Tbxas1', 'Gpr35'}	1.0	1.0	1.0	0.0462	0.0337	0.0377	0.00033	1.0	8.9e-11
cellular iron ion homeostasis	{'Slc11a1'}	1.0	1.0	1.0	0.024	0.0378	1.0	0.0155	1.0	0.00015
cellular lipid metabolic process	{'Plek', 'Alox5ap', 'Inpp5d', 'Apobr', 'Csf1r'}	1.0	1.0	1.0	1.0	1.0	1.0	0.00058	0.0016	0.00011
cellular localization	{'No common gene'}	1.0	1.0	1.0	1.0	1.0	1.0	0.038	0.0027	0.011000000000000001
cellular metabolic process	{'Tbx3', 'Pdgfb', 'Cebpb', 'Taf10'}	1.0	0.0031	1.0	1.0	1.0	1.0	1.0	0.0037	1.0
cellular metal ion homeostasis	{'Slc11a1', 'Ftl1', 'Cd38', 'Gpr35'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0018	0.00059	5.400000000000001e-10
cellular nitrogen compound metabolic process	{'n/a (just one condition)'}	1.0	0.0434	1.0	1.0	1.0	1.0	1.0	1.0	1.0
cellular pigmentation	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0381	1.0	1.0
cellular process	{'No common gene'}	0.0192	8.43e-07	1.0	0.0367	2.7e-09	0.00074	0.0098	1.46e-17	7.27e-07
cellular protein metabolic process	{'Matk', 'Abl2', 'Spi1', 'Tlr4', 'Tlr2', 'Col3a1', 'Ctsl', 'Atp13a2', 'Ptpn1', 'Npc1', 'Rnf180', 'Galnt12', 'Spsb4', 'Mamdc2', 'Man2b2', 'B4galt5', 'Cln8', 'Mertk', 'Tmem189', 'Ctsb', 'Acp2', 'Mmp13', 'Ctsa', 'Wsb2', 'B4galt6', 'Ctsk', 'Grb2', 'Cdk20', 'Sh2d1b1', 'P4ha3', 'Lamp2', 'Cdk18', 'Osm', 'Hck', 'Anxa1', 'Lif', 'Tec', 'Fnip2', 'Nek6', 'Ssh3', 'Ctsc', 'Nceh1', 'Ptpre', 'Tgfb1', 'St6galnac4', 'Fes', 'Rnf128', 'Ccr5', 'Dclk1', 'Ctsh', 'Dtx4', 'Ccl3', 'Fgr', 'Aph1c', 'Egr2', 'Dab2', 'Galnt6', 'P2rx7', 'Ppm1h', 'Htr2b', 'Rnf149', 'Pigs', 'Ctsz', 'Mdfic', 'Wfs1', 'Rps6ka2', 'Loxl2', 'Syk', 'Cfl1', 'Slc11a1', 'Ubash3b', 'Ppic', 'Thbs1', 'Snx5', 'Spcs3', 'Mapk6', 'Gpx1', 'Socs3', 'Fn1', 'Naip5', 'Mgat5', 'Lonrf3', 'Sdf2l1', 'Arrb2', 'Lgmn', 'Cdk6', 'B3gnt7', 'Man2b1', 'Taok3', 'Nrros', 'Naip2', 'Galnt7', 'Abhd12', 'Abca1', 'Csf1r', 'Gcnt4', 'Acvr1b', 'Tnfaip3', 'Hexb', 'Pqlc3', 'Neurl3', 'Ctss', 'Gdf6'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0324	1.0	0.0245
cellular protein modification process	{'Fgr', 'Cdk18', 'B4galt5', 'Sdf2l1', 'Abca1', 'Spi1', 'Syk', 'Neurl3', 'Hck', 'Fes', 'Socs3', 'Slc11a1', 'Csf1r'}	1.0	1.0	1.0	1.0	1.0	1.0	0.025	0.0129	0.0113
cellular protein-containing complex assembly	{'n/a (just one condition)'}	1.0	4.43e-08	1.0	1.0	1.0	1.0	1.0	1.0	1.0
cellular response to BMP stimulus	{'No common gene'}	0.0036	1.0	1.0	1.0	0.0361	1.0	1.0	0.0227	1.0
cellular response to L-glutamine	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	0.011000000000000001	1.0	1.0	1.0
cellular response to X-ray	{'n/a (just one condition)'}	0.0291	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
cellular response to abiotic stimulus	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0142
cellular response to acid chemical	{'Mmp2'}	0.0028	0.0005099999999999999	1.0	1.0	0.00067	8.85e-05	2.47e-05	1.0	3.08e-06
cellular response to alcohol	{'Dnmt3a', 'Tnc', 'Sfrp1', 'Atp2b1', 'Inhbb', 'Ccl7', 'Abca1', 'Spi1', 'Cybb', 'P2ry6'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0018	1.0	0.0198
cellular response to amino acid stimulus	{'Mmp2'}	0.0037	0.00055	1.0	1.0	0.00028	6.33e-06	0.0014	1.0	0.002
cellular response to amyloid-beta	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0246
cellular response to antibiotic	{'Spi1', 'Cybb'}	1.0	1.0	1.0	0.0272	1.0	1.0	0.012	0.0185	0.0077
cellular response to bacterial lipopeptide	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0077
